iter	Passed	Remaining
0	3	1912
1	7	1956
2	10	1816
3	13	1739
4	16	1743
5	19	1734
6	22	1708
7	26	1701
8	29	1691
9	32	1688
10	35	1687
11	38	1676
12	42	1674
13	45	1666
14	48	1661
15	51	1655
16	54	1650
17	58	1646
18	61	1638
19	64	1633
20	67	1630
21	70	1626
22	73	1621
23	77	1622
24	81	1640
25	84	1635
26	87	1627
27	91	1627
28	94	1627
29	97	1625
30	101	1622
31	104	1617
32	107	1617
33	111	1613
34	114	1610
35	117	1608
36	120	1603
37	124	1607
38	127	1601
39	131	1598
40	134	1594
41	137	1594
42	140	1586
43	143	1582
44	147	1579
45	150	1582
46	154	1579
47	157	1578
48	161	1575
49	164	1573
50	167	1569
51	171	1566
52	174	1562
53	177	1559
54	181	1559
55	184	1555
56	187	1552
57	191	1549
58	194	1545
59	197	1542
60	200	1537
61	204	1535
62	207	1531
63	210	1528
64	214	1525
65	216	1518
66	220	1514
67	223	1508
68	226	1509
69	230	1505
70	232	1499
71	236	1497
72	239	1493
73	243	1491
74	245	1485
75	249	1481
76	252	1478
77	255	1476
78	259	1473
79	262	1470
80	265	1466
81	269	1463
82	272	1460
83	275	1455
84	278	1451
85	281	1447
86	284	1444
87	288	1441
88	291	1437
89	294	1433
90	297	1430
91	301	1428
92	304	1424
93	307	1422
94	311	1418
95	314	1414
96	317	1412
97	321	1408
98	324	1405
99	327	1401
100	330	1398
101	334	1395
102	337	1392
103	340	1389
104	343	1385
105	347	1382
106	350	1378
107	353	1375
108	357	1372
109	360	1369
110	363	1366
111	366	1363
112	370	1358
113	373	1355
114	376	1352
115	379	1349
116	383	1347
117	387	1345
118	391	1345
119	394	1341
120	398	1338
121	401	1335
122	404	1331
123	407	1327
124	410	1324
125	413	1320
126	417	1316
127	420	1314
128	424	1313
129	428	1312
130	431	1308
131	435	1305
132	438	1301
133	441	1297
134	444	1293
135	447	1289
136	450	1286
137	453	1282
138	456	1278
139	460	1275
140	463	1271
141	467	1269
142	470	1265
143	473	1261
144	476	1257
145	479	1254
146	483	1251
147	486	1248
148	489	1245
149	492	1241
150	496	1238
151	499	1234
152	502	1231
153	505	1228
154	509	1225
155	513	1223
156	516	1220
157	520	1218
158	523	1215
159	527	1213
160	531	1210
161	534	1207
162	536	1201
163	539	1198
164	543	1196
165	547	1193
166	550	1189
167	553	1186
168	557	1183
169	560	1180
170	563	1176
171	566	1173
172	570	1170
173	574	1169
174	578	1167
175	581	1163
176	585	1160
177	588	1158
178	592	1154
179	595	1150
180	598	1146
181	601	1143
182	605	1140
183	608	1136
184	611	1133
185	614	1129
186	618	1127
187	621	1124
188	624	1120
189	628	1117
190	631	1114
191	634	1110
192	637	1107
193	641	1103
194	644	1100
195	647	1097
196	650	1093
197	653	1089
198	656	1085
199	659	1082
200	664	1080
201	667	1077
202	671	1074
203	674	1071
204	678	1069
205	682	1067
206	686	1064
207	690	1061
208	693	1059
209	697	1056
210	701	1053
211	705	1050
212	708	1048
213	712	1045
214	716	1042
215	719	1039
216	723	1036
217	726	1033
218	730	1030
219	733	1027
220	737	1024
221	741	1021
222	744	1018
223	747	1014
224	751	1011
225	754	1008
226	758	1005
227	761	1002
228	765	999
229	769	997
230	773	994
231	777	991
232	780	988
233	784	986
234	788	982
235	791	979
236	795	976
237	799	974
238	803	971
239	807	968
240	810	965
241	814	962
242	818	959
243	821	956
244	825	953
245	829	950
246	832	947
247	836	944
248	840	941
249	844	939
250	848	935
251	851	932
252	855	929
253	858	926
254	863	923
255	866	920
256	870	917
257	874	915
258	878	912
259	882	909
260	886	906
261	890	904
262	894	901
263	897	897
264	901	895
265	905	892
266	909	888
267	912	885
268	916	882
269	920	879
270	923	875
271	927	872
272	930	869
273	934	866
274	938	863
275	941	860
276	945	856
277	949	853
278	953	850
279	956	846
280	960	843
281	963	840
282	967	837
283	970	834
284	974	830
285	978	828
286	982	824
287	986	821
288	989	818
289	993	815
290	997	812
291	1001	809
292	1005	806
293	1008	802
294	1012	800
295	1016	796
296	1019	792
297	1022	789
298	1026	785
299	1029	782
300	1032	778
301	1035	775
302	1039	772
303	1042	768
304	1046	764
305	1049	761
306	1052	757
307	1056	754
308	1060	751
309	1063	747
310	1066	744
311	1071	741
312	1074	738
313	1078	734
314	1081	731
315	1085	728
316	1088	724
317	1092	721
318	1095	717
319	1098	714
320	1101	710
321	1105	707
322	1109	704
323	1112	700
324	1116	697
325	1119	693
326	1122	690
327	1126	686
328	1129	683
329	1133	679
330	1136	676
331	1140	673
332	1143	669
333	1146	666
334	1149	662
335	1153	658
336	1156	655
337	1159	651
338	1162	648
339	1166	644
340	1169	641
341	1173	638
342	1176	634
343	1180	631
344	1183	627
345	1187	624
346	1191	621
347	1194	618
348	1198	614
349	1201	611
350	1205	607
351	1209	604
352	1212	601
353	1215	597
354	1221	595
355	1225	591
356	1228	588
357	1231	584
358	1235	581
359	1238	578
360	1242	574
361	1245	571
362	1249	567
363	1252	564
364	1255	560
365	1259	557
366	1262	553
367	1265	550
368	1268	546
369	1272	543
370	1275	539
371	1278	536
372	1282	532
373	1285	529
374	1288	525
375	1291	522
376	1295	518
377	1298	515
378	1301	511
379	1304	508
380	1308	504
381	1311	501
382	1314	497
383	1317	494
384	1320	490
385	1324	487
386	1327	483
387	1330	480
388	1334	476
389	1337	473
390	1340	469
391	1343	466
392	1346	462
393	1349	459
394	1352	455
395	1356	452
396	1359	448
397	1363	445
398	1366	441
399	1370	438
400	1373	435
401	1377	431
402	1381	428
403	1385	425
404	1388	421
405	1392	418
406	1395	414
407	1398	411
408	1402	408
409	1406	404
410	1409	401
411	1412	397
412	1415	394
413	1418	390
414	1421	387
415	1425	383
416	1428	380
417	1432	376
418	1435	373
419	1439	370
420	1442	366
421	1445	363
422	1449	359
423	1452	356
424	1455	352
425	1458	349
426	1462	345
427	1465	342
428	1468	338
429	1471	335
430	1475	332
431	1478	328
432	1482	325
433	1485	321
434	1489	318
435	1492	315
436	1496	311
437	1499	308
438	1503	304
439	1507	301
440	1510	298
441	1513	294
442	1517	291
443	1521	287
444	1524	284
445	1528	280
446	1531	277
447	1535	274
448	1538	270
449	1541	267
450	1544	263
451	1547	260
452	1552	257
453	1557	253
454	1561	250
455	1566	247
456	1572	244
457	1576	240
458	1580	237
459	1584	234
460	1587	230
461	1592	227
462	1597	224
463	1601	220
464	1607	217
465	1612	214
466	1616	211
467	1621	207
468	1626	204
469	1631	201
470	1635	197
471	1639	194
472	1644	191
473	1650	188
474	1657	184
475	1662	181
476	1666	178
477	1669	174
478	1674	171
479	1678	167
480	1682	164
481	1686	160
482	1691	157
483	1695	154
484	1700	150
485	1705	147
486	1710	143
487	1714	140
488	1718	137
489	1722	133
490	1727	130
491	1731	126
492	1735	123
493	1739	119
494	1743	116
495	1747	112
496	1751	109
497	1755	105
498	1760	102
499	1764	98
500	1768	95
501	1772	91
502	1776	88
503	1781	84
504	1786	81
505	1789	77
506	1793	74
507	1797	70
508	1801	67
509	1806	63
510	1809	60
511	1813	56
512	1817	53
513	1822	49
514	1826	46
515	1830	42
516	1834	39
517	1838	35
518	1842	31
519	1846	28
520	1850	24
521	1854	21
522	1859	17
523	1864	14
524	1868	10
525	1872	7
526	1876	3
527	1880	0
